id	x	y	h1	h2	h3	h_mean
2	2568568	1095236	352	347	NaN	349.5
3	2568479	1095206	335	342	NaN	338.5
4	2568449	1095144	230	230	NaN	230
5	2568508	1095115	225	350	371	315.333333333333
6	2568472	1095072	237	245	NaN	241
7	2568473	1094992	175	200	NaN	187.5
8	2568523	1094887	282	226	229	245.666666666667
9	2568523	1094824	212	217	NaN	214.5
10	2568572	1094740	238	241	NaN	239.5
11	2568613	1094658	340	300	300	313.333333333333
12	2568579	1094517	277	295	NaN	286
13	2568556	1094353	325	325	NaN	325
14	2568735	1094236	330	340	NaN	335
15	2568855	1094205	287	282	NaN	284.5
16	2568964	1094213	302	300	NaN	301
17	2569053	1094233	268	278	NaN	273
18	2569054	1094233	306	NaN	NaN	306
19	2569107	1093966	300	314	NaN	307
20	2568956	1093885	280	360	320	320
21	2568643	1093580	325	333	NaN	329
22	2568514	1093421	320	340	NaN	330
23	2568190	1093245	340	345	NaN	342.5
24	2567922	1093150	390	364	385	379.666666666667
25	2567650	1093039	390	360	NaN	375
26	2567429	1093047	300	308	NaN	304
27	2567432	1093048	267	253	NaN	260
28	2567092	1093076	312	330	NaN	321
29	2566969	1093087	412	350	NaN	381
30	2566954	1093089	370	370	NaN	370
31	2567028	1093181	450	453	NaN	451.5
32	2567131	1093333	450	402	420	424
33	2567227	1093470	490	400	412	434
34	2567257	1093601	472	473	NaN	472.5
35	2567227	1093678	390	400	NaN	395
36	2567150	1093593	488	480	NaN	484
37	2567091	1093494	500	NaN	NaN	500
38	2567033	1093551	500	NaN	NaN	500
39	2567001	1093653	488	473	NaN	480.5
40	2566981	1093731	500	NaN	NaN	500
41	2567046	1093809	500	480	NaN	490
42	2567044	1093810	500	480	NaN	490
43	2567156	1093931	474	493	NaN	483.5
44	2567199	1094079	421	400	NaN	410.5
45	2567269	1093939	438	455	NaN	446.5
46	2567363	1094025	375	380	NaN	377.5
47	2567421	1093903	500	467	NaN	483.5
48	2567495	1093754	325	318	NaN	321.5
49	2567510	1093635	418	392	NaN	405
50	2567579	1093927	434	420	NaN	427
51	2567583	1094095	438	452	NaN	445
52	2567664	1094008	410	400	NaN	405
53	2567744	1093888	390	340	NaN	365
54	2567972	1093746	340	328	NaN	334
55	2568297	1093754	380	376	NaN	378
56	2568314	1093776	365	NaN	NaN	365
201	2568385	1093901	370	375	NaN	372.5
202	2568448	1094124	330	335	NaN	332.5
203	2568475	1094310	316	310	NaN	313
204	2568517	1094521	364	330	NaN	347
101	2569265	1093930	280	265	NaN	272.5
102	2569217	1093876	260	265	NaN	262.5
103	2569113	1093811	310	320	NaN	315
104	2569166	1093657	330	390	NaN	360
105	2569042	1093536	300	310	NaN	305
106	2569167	1093395	320	320	NaN	320
107	2569343	1093314	315	335	NaN	325
108	2569320	1093139	345	345	NaN	345
109	2569347	1092979	395	305	400	366.666666666667
110	2569422	1092854	470	480	NaN	475
111	2569298	1092807	425	425	NaN	425
112	2569168	1092800	472	471	NaN	471.5
113	2569197	1092966	300	310	NaN	305
114	2569096	1092905	415	430	NaN	422.5
115	2568983	1092827	420	423	NaN	421.5
116	2568836	1092768	435	445	NaN	440
117	2568914	1092913	390	395	NaN	392.5
118	2568726	1092861	450	440	NaN	445
119	2568621	1092710	490	480	NaN	485
120	2568496	1092613	472	490	NaN	481
121	2568349	1092625	443	453	NaN	448
122	2568245	1092660	425	440	NaN	432.5
123	2568314	1092850	452	455	NaN	453.5
124	2568295	1093137	433	432	NaN	432.5
125	2568279	1093390	411	453	436	433.333333333333
126	2568303	1093628	387	383	NaN	385
