Winter mass balance in m w.e. a-1 for individual Swiss glaciers
SGI-ID 1915  1916  1917  1918  1919  1920  1921  1922  1923  1924  1925  1926  1927  1928  1929  1930  1931  1932  1933  1934  1935  1936  1937  1938  1939  1940  1941  1942  1943  1944  1945  1946  1947  1948  1949  1950  1951  1952  1953  1954  1955  1956  1957  1958  1959  1960  1961  1962  1963  1964  1965  1966  1967  1968  1969  1970  1971  1972  1973  1974  1975  1976  1977  1978  1979  1980  1981  1982  1983  1984  1985  1986  1987  1988  1989  1990  1991  1992  1993  1994  1995  1996  1997  1998  1999  2000  2001  2002  2003  2004  2005  2006  2007  2008  2009  2010  2011  2012  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022  2023  2024  
A10g-02     1.617     1.524     2.008     1.160     2.001     2.646     0.876     1.241     1.556     1.482     1.155     1.371     2.422     1.231     1.418     1.193     1.605     1.170     1.279     1.069     2.380     1.865     1.932     0.991     1.547     1.577     1.616     1.162     1.370     1.797     2.275     1.384     1.532     2.345     1.052     1.527     1.917     1.474     1.721     1.151     2.052     1.629     1.559     1.649     1.142     1.296     1.327     1.720     1.076     1.138     1.703     2.238     1.920     1.687     1.091     1.681     1.111     0.760     1.098     1.426     1.593     1.191     1.637     1.475     1.272     1.865     1.953     1.797     1.709     1.817     1.629     1.819     1.689     2.049     1.826     1.768     1.184     2.827     2.407     2.326     2.301     0.871     2.212     1.536     3.258     2.816     2.547     1.316     2.051     1.951     1.335     1.453     1.229     1.540     1.683     1.073     1.036     1.650     1.339     1.258     1.331     1.431     1.418     1.668     1.881     1.313     1.427     0.930     1.368     1.931
A10g-04     1.171     1.103     1.459     0.838     1.451     1.923     0.635     0.897     1.127     1.074     0.835     0.992     1.757     0.892     1.025     0.864     1.161     0.848     0.927     0.777     1.730     1.353     1.400     0.716     1.121     1.141     1.171     0.842     0.992     1.305     1.648     1.002     1.112     1.709     0.765     1.112     1.388     1.065     1.245     0.837     1.492     1.186     1.136     1.195     0.822     0.936     0.958     1.248     0.775     0.825     1.238     1.627     1.395     1.227     0.789     1.217     0.803     0.548     0.792     1.031     1.143     0.867     1.183     1.068     0.924     1.351     1.422     1.299     1.243     1.324     1.185     1.321     1.227     1.485     1.325     1.284     0.860     2.056     1.751     1.689     1.672     0.634     1.606     1.115     2.368     2.048     1.851     0.957     1.488     1.418     0.969     1.055     0.897     1.114     1.215     0.776     0.752     1.190     0.960     0.907     0.954     1.030     1.024     1.195     1.361     0.945     1.023     0.669     0.991     1.393
A10g-05     1.503     1.415     1.872     1.075     1.862     2.467     0.815     1.151     1.446     1.378     1.072     1.273     2.255     1.144     1.315     1.109     1.490     1.088     1.190     0.997     2.220     1.736     1.797     0.919     1.438     1.464     1.502     1.081     1.273     1.674     2.115     1.286     1.427     2.194     0.981     1.427     1.781     1.367     1.598     1.074     1.914     1.523     1.459     1.533     1.054     1.201     1.229     1.601     0.994     1.059     1.589     2.089     1.790     1.574     1.012     1.561     1.031     0.703     1.016     1.323     1.465     1.113     1.518     1.370     1.186     1.734     1.826     1.667     1.595     1.700     1.520     1.695     1.575     1.906     1.700     1.647     1.103     2.639     2.248     2.167     2.145     0.813     2.061     1.431     3.040     2.629     2.375     1.228     1.909     1.820     1.243     1.354     1.152     1.430     1.559     0.996     0.965     1.527     1.231     1.164     1.223     1.321     1.314     1.533     1.747     1.211     1.312     0.859     1.271     1.787
A10g-07     1.396     1.314     1.739     0.998     1.729     2.291     0.757     1.069     1.343     1.280     0.996     1.182     2.094     1.062     1.221     1.030     1.384     1.010     1.105     0.926     2.062     1.612     1.669     0.854     1.336     1.360     1.395     1.004     1.182     1.555     1.964     1.194     1.325     2.037     0.911     1.325     1.654     1.270     1.484     0.997     1.778     1.414     1.355     1.424     0.979     1.115     1.141     1.487     0.923     0.984     1.476     1.940     1.662     1.462     0.940     1.450     0.958     0.653     0.944     1.229     1.362     1.034     1.410     1.272     1.101     1.610     1.695     1.548     1.481     1.578     1.412     1.574     1.463     1.770     1.579     1.530     1.024     2.450     2.087     2.013     1.992     0.755     1.914     1.329     2.822     2.441     2.206     1.140     1.773     1.690     1.154     1.257     1.070     1.328     1.448     0.925     0.896     1.418     1.144     1.081     1.137     1.227     1.220     1.425     1.622     1.126     1.219     0.798     1.180     1.660
A10g-08     1.684     1.585     2.097     1.204     2.086     2.763     0.913     1.289     1.620     1.544     1.201     1.426     2.526     1.281     1.473     1.242     1.669     1.219     1.333     1.117     2.487     1.945     2.013     1.029     1.611     1.640     1.682     1.211     1.426     1.875     2.369     1.441     1.598     2.457     1.099     1.598     1.995     1.531     1.790     1.203     2.144     1.705     1.633     1.717     1.182     1.345     1.377     1.793     1.113     1.186     1.780     2.339     2.005     1.763     1.134     1.749     1.155     0.787     1.138     1.482     1.642     1.247     1.700     1.535     1.329     1.942     2.044     1.867     1.787     1.903     1.703     1.899     1.764     2.135     1.904     1.845     1.236     2.955     2.517     2.427     2.403     0.911     2.309     1.603     3.404     2.944     2.660     1.376     2.138     2.039     1.392     1.517     1.289     1.602     1.746     1.116     1.081     1.710     1.380     1.304     1.371     1.481     1.472     1.718     1.957     1.358     1.471     0.962     1.424     2.003
A10g-09     1.556     1.466     1.936     1.114     1.926     2.551     0.844     1.192     1.497     1.426     1.111     1.319     2.333     1.184     1.362     1.148     1.543     1.126     1.232     1.031     2.296     1.796     1.860     0.952     1.488     1.516     1.555     1.119     1.318     1.732     2.189     1.331     1.476     2.267     1.014     1.475     1.843     1.416     1.655     1.111     1.979     1.573     1.507     1.587     1.094     1.244     1.273     1.656     1.031     1.096     1.643     2.159     1.851     1.627     1.049     1.617     1.068     0.729     1.054     1.370     1.522     1.150     1.572     1.418     1.227     1.795     1.887     1.726     1.649     1.755     1.571     1.753     1.628     1.973     1.759     1.704     1.141     2.727     2.324     2.241     2.218     0.840     2.131     1.480     3.143     2.718     2.456     1.269     1.975     1.882     1.286     1.400     1.189     1.480     1.616     1.032     0.998     1.583     1.279     1.207     1.271     1.370     1.361     1.593     1.809     1.257     1.363     0.891     1.316     1.853
A10g-11     1.653     1.558     2.054     1.185     2.045     2.706     0.895     1.269     1.591     1.515     1.181     1.402     2.476     1.258     1.449     1.219     1.641     1.196     1.307     1.094     2.434     1.907     1.975     1.013     1.581     1.611     1.652     1.188     1.401     1.837     2.326     1.415     1.567     2.399     1.075     1.562     1.959     1.506     1.759     1.178     2.098     1.666     1.595     1.686     1.167     1.325     1.356     1.758     1.098     1.163     1.742     2.289     1.964     1.725     1.115     1.719     1.136     0.776     1.123     1.458     1.626     1.218     1.672     1.507     1.302     1.907     1.998     1.836     1.748     1.858     1.666     1.859     1.726     2.095     1.867     1.808     1.212     2.891     2.462     2.378     2.353     0.891     2.262     1.570     3.333     2.881     2.605     1.345     2.097     1.996     1.365     1.485     1.258     1.573     1.720     1.097     1.059     1.686     1.367     1.285     1.358     1.460     1.448     1.702     1.923     1.341     1.457     0.950     1.399     1.973
A10g-12     1.778     1.674     2.213     1.273     2.202     2.917     0.964     1.362     1.710     1.630     1.268     1.506     2.666     1.353     1.555     1.312     1.762     1.287     1.407     1.179     2.624     2.053     2.125     1.087     1.701     1.731     1.776     1.279     1.506     1.979     2.501     1.521     1.688     2.592     1.159     1.687     2.106     1.618     1.890     1.269     2.263     1.799     1.723     1.813     1.248     1.422     1.455     1.894     1.177     1.252     1.878     2.469     2.116     1.860     1.197     1.846     1.219     0.833     1.203     1.566     1.736     1.315     1.797     1.620     1.403     2.051     2.157     1.973     1.885     2.008     1.797     2.004     1.862     2.254     2.011     1.947     1.305     3.119     2.656     2.562     2.536     0.962     2.436     1.691     3.593     3.107     2.808     1.451     2.258     2.151     1.470     1.600     1.361     1.691     1.845     1.178     1.141     1.807     1.458     1.378     1.449     1.564     1.555     1.817     2.066     1.435     1.555     1.017     1.503     2.115
A10g-14     1.606     1.513     1.997     1.151     1.989     2.632     0.870     1.232     1.546     1.472     1.147     1.361     2.407     1.222     1.407     1.185     1.593     1.163     1.271     1.063     2.368     1.854     1.919     0.983     1.537     1.565     1.605     1.155     1.361     1.787     2.260     1.375     1.523     2.336     1.046     1.521     1.904     1.463     1.709     1.145     2.041     1.622     1.553     1.638     1.132     1.287     1.316     1.710     1.065     1.132     1.695     2.227     1.909     1.679     1.082     1.669     1.103     0.753     1.089     1.416     1.576     1.185     1.624     1.465     1.265     1.853     1.945     1.783     1.700     1.810     1.621     1.809     1.680     2.037     1.815     1.758     1.178     2.813     2.396     2.312     2.289     0.867     2.199     1.527     3.242     2.803     2.534     1.309     2.039     1.942     1.327     1.445     1.226     1.529     1.670     1.065     1.030     1.635     1.324     1.248     1.315     1.416     1.406     1.649     1.868     1.300     1.412     0.922     1.358     1.915
A10g-15     1.436     1.354     1.785     1.030     1.778     2.352     0.778     1.103     1.383     1.317     1.026     1.219     2.152     1.093     1.259     1.060     1.426     1.040     1.136     0.951     2.116     1.657     1.717     0.880     1.374     1.400     1.436     1.032     1.218     1.597     2.021     1.230     1.362     2.086     0.935     1.359     1.703     1.309     1.529     1.024     1.824     1.448     1.387     1.465     1.014     1.152     1.178     1.528     0.955     1.011     1.514     1.990     1.707     1.500     0.969     1.494     0.987     0.675     0.976     1.267     1.414     1.059     1.454     1.310     1.132     1.657     1.737     1.596     1.520     1.616     1.448     1.617     1.501     1.821     1.623     1.571     1.053     2.514     2.141     2.067     2.045     0.775     1.966     1.366     2.897     2.504     2.264     1.170     1.823     1.735     1.186     1.291     1.094     1.368     1.495     0.954     0.920     1.464     1.187     1.117     1.180     1.268     1.259     1.479     1.672     1.165     1.266     0.826     1.215     1.715
