Ice volume in km3 for Swiss catchments
Year  Switzerland  Rhone  Tessin/Simplon  Poschiavo/Bergell  Engadin  Alpenrhein  Thur  Aare  Saane  Reuss  Linth  
1915 107.8129  66.4509   1.1745   3.1802   6.3245   4.0000   0.0006  19.2851   0.1430   5.8774   1.3768
1916 109.3507  67.3654   1.2081   3.1949   6.3644   4.0848   0.0006  19.5596   0.1473   6.0100   1.4155
1917 108.8938  67.1609   1.1985   3.1736   6.3282   4.0472   0.0006  19.4594   0.1467   5.9719   1.4068
1918 109.6861  67.6673   1.2179   3.1604   6.2871   4.0836   0.0006  19.6197   0.1492   6.0644   1.4358
1919 110.9271  68.4038   1.2432   3.1851   6.3726   4.1531   0.0007  19.8106   0.1529   6.1461   1.4590
1920 111.2135  68.6091   1.2484   3.1874   6.4024   4.1630   0.0007  19.8316   0.1541   6.1546   1.4622
1921 107.1255  66.3931   1.1652   3.0624   6.0858   3.8965   0.0006  19.1193   0.1445   5.8698   1.3883
1922 107.6378  66.7297   1.1761   3.0624   6.1008   3.9189   0.0006  19.1944   0.1463   5.9081   1.4004
1923 108.0740  67.0237   1.1854   3.0610   6.1122   3.9366   0.0006  19.2555   0.1480   5.9401   1.4109
1924 108.6905  67.4155   1.1980   3.0680   6.1499   3.9662   0.0007  19.3409   0.1501   5.9786   1.4226
1925 109.1762  67.7363   1.2082   3.0692   6.1698   3.9871   0.0007  19.4081   0.1518   6.0117   1.4332
1926 109.0258  67.6963   1.2041   3.0639   6.1832   3.9703   0.0007  19.3471   0.1520   5.9825   1.4258
1927 110.1451  68.3706   1.2276   3.0806   6.2428   4.0306   0.0007  19.5255   0.1554   6.0623   1.4491
1928 106.6389  66.4667   1.1560   2.9776   5.9887   3.8039   0.0006  18.9041   0.1471   5.8110   1.3832
1929 104.3707  65.2490   1.1104   2.9056   5.8150   3.6557   0.0006  18.4992   0.1420   5.6511   1.3421
1930 104.2928  65.2570   1.1096   2.8890   5.7845   3.6414   0.0006  18.4752   0.1423   5.6494   1.3436
1931 104.9979  65.7004   1.1241   2.8974   5.8238   3.6756   0.0006  18.5782   0.1446   5.6956   1.3575
1932 103.2312  64.7592   1.0889   2.8402   5.6903   3.5595   0.0006  18.2574   0.1407   5.5693   1.3252
1933 104.0576  65.2737   1.1063   2.8478   5.7238   3.6001   0.0006  18.3883   0.1433   5.6302   1.3435
1934 102.2856  64.3196   1.0696   2.8028   5.6343   3.4866   0.0006  18.0447   0.1394   5.4837   1.3043
1935 102.6002  64.5434   1.0760   2.8025   5.6523   3.4972   0.0006  18.0778   0.1407   5.4997   1.3099
1936 102.9194  64.7693   1.0825   2.8033   5.6742   3.5082   0.0006  18.1100   0.1420   5.5143   1.3149
1937 103.5039  65.1469   1.0947   2.8075   5.7012   3.5345   0.0007  18.1943   0.1440   5.5533   1.3270
1938 102.8528  64.8285   1.0820   2.7812   5.6496   3.4868   0.0006  18.0632   0.1429   5.5032   1.3149
1939 102.8055  64.8516   1.0817   2.7676   5.6284   3.4749   0.0007  18.0414   0.1433   5.5002   1.3158
1940 104.2853  65.7360   1.1125   2.7904   5.6999   3.5539   0.0007  18.2880   0.1475   5.6090   1.3472
1941 104.7833  66.0687   1.1238   2.7868   5.7007   3.5739   0.0007  18.3678   0.1493   5.6509   1.3608
1942 103.4045  65.3430   1.0970   2.7379   5.5851   3.4818   0.0007  18.1190   0.1463   5.5566   1.3372
1943 102.2489  64.7363   1.0737   2.7032   5.5156   3.4053   0.0007  17.8932   0.1439   5.4640   1.3131
1944 101.4416  64.3283   1.0581   2.6724   5.4510   3.3488   0.0007  17.7371   0.1423   5.4044   1.2985
1945 101.2503  64.2813   1.0576   2.6348   5.3457   3.3249   0.0007  17.7285   0.1423   5.4259   1.3085
1946 100.7117  64.0259   1.0479   2.6078   5.2878   3.2841   0.0007  17.6247   0.1415   5.3907   1.3008
1947  96.1592  61.4915   0.9593   2.4771   4.9580   3.0107   0.0006  16.8327   0.1305   5.0798   1.2190
1948  97.1802  62.0746   0.9793   2.4965   5.0345   3.0677   0.0006  16.9925   0.1333   5.1580   1.2432
1949  94.9353  60.8353   0.9365   2.4309   4.8810   2.9363   0.0006  16.5910   0.1281   4.9961   1.1994
1950  92.3147  59.3742   0.8865   2.3539   4.6974   2.7797   0.0005  16.1265   0.1221   4.8198   1.1542
1951  92.4393  59.4964   0.8902   2.3440   4.6830   2.7800   0.0005  16.1376   0.1228   4.8275   1.1573
1952  90.7687  58.5663   0.8588   2.2925   4.5681   2.6814   0.0005  15.8351   0.1191   4.7167   1.1303
1953  90.5413  58.4804   0.8554   2.2733   4.5301   2.6588   0.0005  15.7860   0.1189   4.7075   1.1304
1954  90.6173  58.5631   0.8579   2.2633   4.5181   2.6555   0.0005  15.7884   0.1195   4.7165   1.1345
1955  91.4593  59.1353   0.8596   2.2487   4.5024   2.7002   0.0005  15.9407   0.1222   4.7915   1.1581
1956  91.1521  58.9985   0.8544   2.2260   4.4601   2.6799   0.0005  15.8782   0.1219   4.7764   1.1562
1957  91.1991  59.0426   0.8531   2.2041   4.4218   2.6882   0.0005  15.8952   0.1224   4.8040   1.1670
1958  90.1093  58.4712   0.8401   2.1846   4.3778   2.6064   0.0005  15.6674   0.1201   4.7022   1.1390
1959  89.0316  57.9813   0.8231   2.1467   4.2837   2.5111   0.0005  15.4483   0.1180   4.6053   1.1135
1960  89.5566  58.3782   0.8338   2.1387   4.2757   2.5217   0.0005  15.5244   0.1199   4.6390   1.1247
1961  89.0621  58.0656   0.8237   2.1165   4.2324   2.5007   0.0005  15.4456   0.1189   4.6320   1.1263
1962  88.7868  57.9090   0.8184   2.1000   4.2082   2.4874   0.0005  15.3893   0.1185   4.6274   1.1282
1963  88.3936  57.8553   0.8186   2.0696   4.1218   2.4168   0.0005  15.3238   0.1181   4.5636   1.1054
1964  87.3287  57.4090   0.8046   2.0235   3.9973   2.3128   0.0005  15.1328   0.1160   4.4587   1.0736
1965  87.9079  57.6106   0.8147   2.0360   4.0613   2.3674   0.0005  15.2676   0.1174   4.5357   1.0969
1966  88.2700  57.7018   0.8209   2.0434   4.1158   2.4080   0.0005  15.3541   0.1182   4.5923   1.1150
1967  88.6940  57.9269   0.8346   2.0450   4.1331   2.4286   0.0005  15.4453   0.1192   4.6339   1.1270
1968  89.1985  58.1029   0.8386   2.0507   4.1744   2.4827   0.0006  15.5545   0.1203   4.7183   1.1556
1969  89.1505  58.1061   0.8415   2.0378   4.1469   2.4722   0.0006  15.5499   0.1204   4.7188   1.1562
1970  88.9225  57.9208   0.8345   2.0255   4.1368   2.4763   0.0006  15.5064   0.1200   4.7352   1.1665
1971  88.0134  57.4583   0.8232   1.9913   4.0525   2.4089   0.0006  15.3496   0.1180   4.6645   1.1465
1972  88.0092  57.5070   0.8317   1.9786   4.0234   2.3867   0.0006  15.3697   0.1181   4.6531   1.1403
1973  86.6666  56.7586   0.8147   1.9377   3.9223   2.3053   0.0005  15.1417   0.1147   4.5575   1.1137
1974  86.9182  56.8883   0.8199   1.9361   3.9390   2.3210   0.0006  15.1837   0.1154   4.5893   1.1250
1975  87.0833  56.8381   0.8247   1.9365   3.9568   2.3499   0.0006  15.2653   0.1153   4.6508   1.1453
1976  86.2636  56.3582   0.8129   1.9109   3.9077   2.3110   0.0006  15.1055   0.1132   4.6066   1.1371
1977  87.8159  57.3905   0.8568   1.9286   3.9454   2.3455   0.0006  15.3931   0.1170   4.6845   1.1539
1978  89.0751  58.1372   0.8870   1.9483   4.0045   2.4018   0.0006  15.6208   0.1200   4.7754   1.1793
1979  88.4486  57.7808   0.8771   1.9252   3.9627   2.3693   0.0006  15.5026   0.1187   4.7396   1.1719
1980  89.4186  58.4315   0.9014   1.9370   3.9983   2.4098   0.0006  15.6318   0.1216   4.7929   1.1938
1981  89.7661  58.7315   0.9122   1.9340   4.0026   2.4167   0.0006  15.6479   0.1230   4.7978   1.1997
1982  88.5973  58.0570   0.8906   1.8968   3.9218   2.3538   0.0006  15.4548   0.1204   4.7246   1.1768
1983  87.7815  57.5690   0.8760   1.8691   3.8629   2.3121   0.0006  15.3229   0.1186   4.6832   1.1671
1984  88.0489  57.6227   0.8814   1.8734   3.8985   2.3444   0.0006  15.3902   0.1189   4.7346   1.1841
1985  87.5114  57.2243   0.8739   1.8608   3.8909   2.3338   0.0006  15.3258   0.1175   4.7086   1.1752
1986  86.4931  56.6893   0.8585   1.8319   3.8391   2.2692   0.0006  15.1315   0.1154   4.6127   1.1449
1987  85.6259  56.1264   0.8398   1.8015   3.7750   2.2356   0.0006  15.0036   0.1136   4.5874   1.1423
1988  85.1536  55.8260   0.8269   1.7817   3.7425   2.2243   0.0006  14.9120   0.1129   4.5806   1.1462
1989  84.2602  55.2991   0.8121   1.7551   3.6938   2.1810   0.0006  14.7533   0.1109   4.5232   1.1311
1990  82.8407  54.5422   0.7818   1.7128   3.6126   2.1086   0.0006  14.4587   0.1088   4.4118   1.1029
1991  80.8957  53.3816   0.7498   1.6643   3.5051   2.0040   0.0005  14.1535   0.1040   4.2731   1.0597
1992  80.0841  53.0392   0.7455   1.6411   3.4447   1.9275   0.0005  13.9779   0.1029   4.1758   1.0290
1993  79.9012  53.0313   0.7436   1.6207   3.4019   1.9067   0.0005  13.9156   0.1029   4.1531   1.0248
1994  78.8393  52.4510   0.7345   1.5989   3.3526   1.8440   0.0005  13.6932   0.1010   4.0632   1.0004
1995  78.9527  52.5060   0.7387   1.5924   3.3446   1.8502   0.0005  13.7250   0.1011   4.0860   1.0083
1996  78.5976  52.3389   0.7285   1.5706   3.3071   1.8254   0.0005  13.6765   0.1008   4.0530   0.9964
1997  77.9021  51.9634   0.7152   1.5439   3.2533   1.7868   0.0005  13.5557   0.0996   4.0021   0.9817
1998  75.8750  50.7146   0.6836   1.4989   3.1550   1.7072   0.0005  13.1860   0.0952   3.8807   0.9533
1999  75.4400  50.4778   0.6667   1.4674   3.0930   1.6955   0.0005  13.1144   0.0949   3.8737   0.9562
2000  74.9310  50.1917   0.6521   1.4327   3.0256   1.6882   0.0005  13.0248   0.0936   3.8630   0.9589
2001  75.1703  50.3261   0.6624   1.4408   3.0575   1.6951   0.0005  13.0574   0.0944   3.8750   0.9611
2002  74.6403  50.1453   0.6542   1.4131   2.9954   1.6430   0.0005  12.9579   0.0937   3.8022   0.9350
2003  72.0295  48.6528   0.6088   1.3398   2.8216   1.5226   0.0004  12.4895   0.0883   3.6193   0.8866
2004  71.2492  48.1409   0.5937   1.3141   2.7787   1.5098   0.0004  12.3475   0.0866   3.5927   0.8848
2005  70.0134  47.4629   0.5694   1.2700   2.6839   1.4557   0.0004  12.1182   0.0844   3.5060   0.8626
2006  68.4021  46.5678   0.5392   1.2182   2.5678   1.3892   0.0004  11.8032   0.0816   3.3971   0.8378
2007  67.8554  46.3210   0.5261   1.1830   2.4884   1.3518   0.0003  11.7157   0.0809   3.3637   0.8245
2008  66.6205  45.6079   0.5104   1.1520   2.4236   1.3016   0.0003  11.4744   0.0785   3.2711   0.8008
2009  65.5509  44.9684   0.5044   1.1350   2.3823   1.2457   0.0003  11.2767   0.0760   3.1864   0.7756
2010  64.7181  44.4249   0.4904   1.1101   2.3353   1.2170   0.0003  11.1554   0.0750   3.1456   0.7641
2011  62.8211  43.3452   0.4654   1.0641   2.2274   1.1316   0.0002  10.7914   0.0709   2.9997   0.7251
2012  61.5977  42.6284   0.4456   1.0280   2.1445   1.0813   0.0002  10.5693   0.0689   2.9230   0.7086
2013  61.2986  42.4886   0.4438   1.0097   2.1070   1.0669   0.0002  10.5027   0.0688   2.9043   0.7067
2014  60.9051  42.2686   0.4418   1.0133   2.1188   1.0391   0.0002  10.3918   0.0682   2.8646   0.6987
2015  59.4640  41.4255   0.4219   0.9783   2.0377   0.9796   0.0002  10.1129   0.0643   2.7694   0.6742
2016  58.6399  40.9208   0.4045   0.9543   1.9860   0.9466   0.0002   9.9845   0.0648   2.7150   0.6632
2017  56.9087  39.8539   0.3801   0.9116   1.8881   0.8880   0.0001   9.6712   0.0610   2.6144   0.6403
2018  55.4046  39.0268   0.3597   0.8661   1.7823   0.8256   0.0001   9.3655   0.0576   2.5058   0.6151
2019  54.3314  38.3896   0.3481   0.8296   1.7004   0.7902   0.0001   9.1776   0.0552   2.4444   0.5962
2020  53.4155  37.8473   0.3396   0.8065   1.6499   0.7556   0.0001   8.9968   0.0529   2.3868   0.5801
2021  52.8681  37.5114   0.3306   0.7879   1.6107   0.7337   0.0001   8.9094   0.0524   2.3585   0.5733
2022  49.7428  35.5634   0.2849   0.7180   1.4464   0.6322   0.0001   8.3562   0.0462   2.1724   0.5231
2023  47.5711  34.2372   0.2528   0.6630   1.3206   0.5615   0.0000   7.9725   0.0431   2.0342   0.4863
2024  46.4869  33.5706   0.2416   0.6393   1.2684   0.5217   0.0000   7.7775   0.0413   1.9627   0.4637
