Ice volume in km3 for individual Swiss glaciers
SGI-ID 1915  1916  1917  1918  1919  1920  1921  1922  1923  1924  1925  1926  1927  1928  1929  1930  1931  1932  1933  1934  1935  1936  1937  1938  1939  1940  1941  1942  1943  1944  1945  1946  1947  1948  1949  1950  1951  1952  1953  1954  1955  1956  1957  1958  1959  1960  1961  1962  1963  1964  1965  1966  1967  1968  1969  1970  1971  1972  1973  1974  1975  1976  1977  1978  1979  1980  1981  1982  1983  1984  1985  1986  1987  1988  1989  1990  1991  1992  1993  1994  1995  1996  1997  1998  1999  2000  2001  2002  2003  2004  2005  2006  2007  2008  2009  2010  2011  2012  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022  2023  2024  
A10g-02  0.042217603  0.042339152  0.042033321  0.041349743  0.042110466  0.042427465  0.039596220  0.039674044  0.039727220  0.040057160  0.040201181  0.040422359  0.040893112  0.038685685  0.037152145  0.036822806  0.037146957  0.035980367  0.036204458  0.035572755  0.035732877  0.035939265  0.036143498  0.035695858  0.035471239  0.035994649  0.035902661  0.034861827  0.034321643  0.033757190  0.032563246  0.032016790  0.029176502  0.030014773  0.028751649  0.027235071  0.027039796  0.026145664  0.025775683  0.025656263  0.026115277  0.026020861  0.026043444  0.025342105  0.023988996  0.023973074  0.023488082  0.023309548  0.022337702  0.021104786  0.021747275  0.022409216  0.022488701  0.022718211  0.022354509  0.022288664  0.021493688  0.021113607  0.020199652  0.020419528  0.020396823  0.020095495  0.020184744  0.020623492  0.020342828  0.020533571  0.020606406  0.019974201  0.019424409  0.019770834  0.019813442  0.019548451  0.018904040  0.018624947  0.018276902  0.017805303  0.016954456  0.016195705  0.015894950  0.015371942  0.015263029  0.015162481  0.014833077  0.014156739  0.013895069  0.013788437  0.013956258  0.013551932  0.012425590  0.012403575  0.011976645  0.011381360  0.010979144  0.010626560  0.010068677  0.009845878  0.009145652  0.008536080  0.008334796  0.007974000  0.007326766  0.007009022  0.006447393  0.005783111  0.005409336  0.005049796  0.004738143  0.003829078  0.003248859  0.002854797
A10g-04  0.000668162  0.000692700  0.000695483  0.000677568  0.000737644  0.000775328  0.000640177  0.000662566  0.000684071  0.000721537  0.000749395  0.000782669  0.000831459  0.000721854  0.000654263  0.000654348  0.000691564  0.000644155  0.000675453  0.000658328  0.000686542  0.000718201  0.000750417  0.000743114  0.000749280  0.000802554  0.000817506  0.000771497  0.000757737  0.000742115  0.000686393  0.000671629  0.000521350  0.000588042  0.000531265  0.000461898  0.000466504  0.000432854  0.000427553  0.000436034  0.000477715  0.000488639  0.000506331  0.000481283  0.000418041  0.000432071  0.000418934  0.000423662  0.000382712  0.000328868  0.000377989  0.000431941  0.000452182  0.000481990  0.000474665  0.000486580  0.000451682  0.000443110  0.000401221  0.000430239  0.000443512  0.000439754  0.000459788  0.000501808  0.000498749  0.000524482  0.000543083  0.000517688  0.000496971  0.000531569  0.000547516  0.000544329  0.000517481  0.000512705  0.000503857  0.000487613  0.000448676  0.000415139  0.000408474  0.000388789  0.000392950  0.000397643  0.000388890  0.000360239  0.000354974  0.000358420  0.000377153  0.000363822  0.000310559  0.000317999  0.000303270  0.000279432  0.000266109  0.000255375  0.000233681  0.000229542  0.000201087  0.000176887  0.000173436  0.000162000  0.000136836  0.000127706  0.000107773  0.000084494  0.000073894  0.000064218  0.000056387  0.000032061  0.000022035  0.000017903
A10g-05  0.264327099  0.265663508  0.265219324  0.263094878  0.267218391  0.269449640  0.258069894  0.259247106  0.260319517  0.262610179  0.264089973  0.265936378  0.268851033  0.260004836  0.254032196  0.253386220  0.255677613  0.251267366  0.253106456  0.251107061  0.252673976  0.254454944  0.256221517  0.255022030  0.254826125  0.258055408  0.258463513  0.254498507  0.252840644  0.251040833  0.246206127  0.244432680  0.231615174  0.236545363  0.231235182  0.224589444  0.224390857  0.220739410  0.219646242  0.219823188  0.222947599  0.223292463  0.224197374  0.221445989  0.215194484  0.215878795  0.214081780  0.213919333  0.209512564  0.203635045  0.207878900  0.212248810  0.213434415  0.215384794  0.214170244  0.214577482  0.211021605  0.209690502  0.205391423  0.207396141  0.207977459  0.207066253  0.208289995  0.211536008  0.210685427  0.212509441  0.213696598  0.210711433  0.208150262  0.210973597  0.211997627  0.211126813  0.207846300  0.206804541  0.205332888  0.203070098  0.198339820  0.194137936  0.192861812  0.190109377  0.190054117  0.190071499  0.188507754  0.184528543  0.183360444  0.183272729  0.185145810  0.182897594  0.175314247  0.175814541  0.173267273  0.169385408  0.166955390  0.164865624  0.161065898  0.159929107  0.154874903  0.150390681  0.149319111  0.146835000  0.141708334  0.139455852  0.134879675  0.129101755  0.125981008  0.122920009  0.120203660  0.110849655  0.104574982  0.100151695
A10g-07  0.008275740  0.008385445  0.008371897  0.008242316  0.008546156  0.008720230  0.007947154  0.008044807  0.008135687  0.008311593  0.008432091  0.008579015  0.008802538  0.008198888  0.007803763  0.007776166  0.007950291  0.007664452  0.007806877  0.007686488  0.007810481  0.007950017  0.008089460  0.008023048  0.008026356  0.008268881  0.008314775  0.008054336  0.007955902  0.007847903  0.007532141  0.007427385  0.006585092  0.006927059  0.006590105  0.006171623  0.006173465  0.005953359  0.005897929  0.005923540  0.006138563  0.006175285  0.006248792  0.006084788  0.005699523  0.005757018  0.005657154  0.005660871  0.005397819  0.005048404  0.005323141  0.005610989  0.005700317  0.005839259  0.005775572  0.005815900  0.005602856  0.005532355  0.005275871  0.005414856  0.005464986  0.005421316  0.005510759  0.005724749  0.005685535  0.005810143  0.005895035  0.005727058  0.005585475  0.005766745  0.005839828  0.005800299  0.005619394  0.005570434  0.005496726  0.005377711  0.005117728  0.004889481  0.004828475  0.004684689  0.004692664  0.004704568  0.004629103  0.004421778  0.004368791  0.004374480  0.004485187  0.004375740  0.003985381  0.004021506  0.003898892  0.003708404  0.003593502  0.003496765  0.003314989  0.003267311  0.003026470  0.002815966  0.002772745  0.002662000  0.002429157  0.002333597  0.002135577  0.001892978  0.001769553  0.001651564  0.001550195  0.001207361  0.001000221  0.000866086
A10g-08  0.078687130  0.079005292  0.078639412  0.077632924  0.079016490  0.079674893  0.075141316  0.075397713  0.075613717  0.076291019  0.076659946  0.077165403  0.078076626  0.074541566  0.072110735  0.071683218  0.072353829  0.070523520  0.071023725  0.070095281  0.070493071  0.070969484  0.071439763  0.070810748  0.070554231  0.071562939  0.071528380  0.069883165  0.069092020  0.068251766  0.066310804  0.065489496  0.060694573  0.062290622  0.060217645  0.057685795  0.057450942  0.055997314  0.055451315  0.055352356  0.056285726  0.056242921  0.056397659  0.055272229  0.052941371  0.053021038  0.052245222  0.052033492  0.050369069  0.048216733  0.049506462  0.050840244  0.051090869  0.051601847  0.051033398  0.051017863  0.049659766  0.049059361  0.047466453  0.047987801  0.048035062  0.047582984  0.047843300  0.048772621  0.048347112  0.048803936  0.049050016  0.047935656  0.046963832  0.047739124  0.047931527  0.047514689  0.046329542  0.045863786  0.045263888  0.044415505  0.042794540  0.041346699  0.040820083  0.039836741  0.039694211  0.039575320  0.038971739  0.037632582  0.037156075  0.037009823  0.037456415  0.036663957  0.034281540  0.034315245  0.033447536  0.032191799  0.031367369  0.030646931  0.029436075  0.028999166  0.027441724  0.026057791  0.025649129  0.024845000  0.023314438  0.022595285  0.021253713  0.019618279  0.018709634  0.017829697  0.017051260  0.014643282  0.013067106  0.011970136
A10g-09  0.006228093  0.006272335  0.006243899  0.006148403  0.006304662  0.006384503  0.005916241  0.005953261  0.005986102  0.006067553  0.006116608  0.006180261  0.006287425  0.005922805  0.005676604  0.005641481  0.005721703  0.005538825  0.005601109  0.005512878  0.005564232  0.005624014  0.005683316  0.005626469  0.005609129  0.005725747  0.005731954  0.005567372  0.005493056  0.005413747  0.005219255  0.005142327  0.004651425  0.004825440  0.004618509  0.004365313  0.004349641  0.004208425  0.004160782  0.004158785  0.004262600  0.004266162  0.004290253  0.004182188  0.003951895  0.003967971  0.003896838  0.003882928  0.003721513  0.003511607  0.003649192  0.003792033  0.003825440  0.003886081  0.003835950  0.003842160  0.003710933  0.003657314  0.003502788  0.003563049  0.003575721  0.003536768  0.003570929  0.003672912  0.003636605  0.003690540  0.003722543  0.003615823  0.003523822  0.003609743  0.003635826  0.003599831  0.003485814  0.003445154  0.003390472  0.003310181  0.003150865  0.003009283  0.002961928  0.002867614  0.002859462  0.002853453  0.002797812  0.002666675  0.002624130  0.002615184  0.002666914  0.002591405  0.002352744  0.002361939  0.002278451  0.002155090  0.002075783  0.002007089  0.001888137  0.001848562  0.001693240  0.001556333  0.001519544  0.001442000  0.001291682  0.001224808  0.001098379  0.000948459  0.000869573  0.000794903  0.000731092  0.000537422  0.000423552  0.000351465
A10g-11  0.009853032  0.009974908  0.009878994  0.009590387  0.010039236  0.010264520  0.008881395  0.008977382  0.009061511  0.009286352  0.009418388  0.009591569  0.009895962  0.008823011  0.008114647  0.008006874  0.008221510  0.007702608  0.007865150  0.007609840  0.007741093  0.007895815  0.008050888  0.007882799  0.007824894  0.008139753  0.008147963  0.007681992  0.007468314  0.007243470  0.006717255  0.006506267  0.005249757  0.005671733  0.005147765  0.004530249  0.004486676  0.004149972  0.004034501  0.004022762  0.004252021  0.004251172  0.004299133  0.004042468  0.003526047  0.003554667  0.003395691  0.003359289  0.003014872  0.002586822  0.002854921  0.003141718  0.003206119  0.003330539  0.003218659  0.003225669  0.002945791  0.002830914  0.002517896  0.002629546  0.002650302  0.002568147  0.002628686  0.002814965  0.002741837  0.002835405  0.002886835  0.002694344  0.002531642  0.002671781  0.002709250  0.002645564  0.002460820  0.002393728  0.002306471  0.002182866  0.001947990  0.001744384  0.001675914  0.001546267  0.001532905  0.001521988  0.001451245  0.001294057  0.001243424  0.001231192  0.001282774  0.001204513  0.000973529  0.000979758  0.000905523  0.000802805  0.000739821  0.000688504  0.000607643  0.000581702  0.000492656  0.000422271  0.000404593  0.000373000  0.000317973  0.000293587  0.000249208  0.000199068  0.000173583  0.000150247  0.000131141  0.000079400  0.000054960  0.000042934
A10g-12  0.038545434  0.038644204  0.038409498  0.037866394  0.038479435  0.038740670  0.036493150  0.036562204  0.036611606  0.036882470  0.037005085  0.037193155  0.037575981  0.035821829  0.034600640  0.034342390  0.034610812  0.033681200  0.033868103  0.033371745  0.033508834  0.033683153  0.033854953  0.033502774  0.033328444  0.033755994  0.033687103  0.032853751  0.032426149  0.031976754  0.031007927  0.030569550  0.028255532  0.028959439  0.027933625  0.026694044  0.026537512  0.025808286  0.025506917  0.025414921  0.025806306  0.025740359  0.025766795  0.025195640  0.024065840  0.024059353  0.023655041  0.023512924  0.022697857  0.021659493  0.022213759  0.022787415  0.022860879  0.023054928  0.022750886  0.022701465  0.022034629  0.021717352  0.020945671  0.021143471  0.021124662  0.020877220  0.020956995  0.021341255  0.021107613  0.021277031  0.021350129  0.020805014  0.020326610  0.020640467  0.020689650  0.020463890  0.019892429  0.019646252  0.019339674  0.018922365  0.018157830  0.017472857  0.017202439  0.016727535  0.016630333  0.016543658  0.016241114  0.015611520  0.015367472  0.015270828  0.015437192  0.015054771  0.013970555  0.013954744  0.013541928  0.012959364  0.012567581  0.012222397  0.011663888  0.011444447  0.010736689  0.010107310  0.009902317  0.009527000  0.008840677  0.008506347  0.007909005  0.007193009  0.006788865  0.006399498  0.006055889  0.005048570  0.004395167  0.003943220
A10g-14  0.015533302  0.015649984  0.015506703  0.015129094  0.015640822  0.015882158  0.014191929  0.014280894  0.014355150  0.014598907  0.014730123  0.014911069  0.015245145  0.013935180  0.013052232  0.012895133  0.013129721  0.012472997  0.012646068  0.012311359  0.012446468  0.012609837  0.012772154  0.012543582  0.012448164  0.012801718  0.012785776  0.012199915  0.011917262  0.011620634  0.010952686  0.010670218  0.009081569  0.009593228  0.008914572  0.008107038  0.008030900  0.007576872  0.007407145  0.007373127  0.007652415  0.007633539  0.007676585  0.007327968  0.006632595  0.006652280  0.006423614  0.006358088  0.005880081  0.005279999  0.005631047  0.006000818  0.006069255  0.006214775  0.006049821  0.006042196  0.005655605  0.005486032  0.005047968  0.005184682  0.005196294  0.005071081  0.005138148  0.005377662  0.005264184  0.005378294  0.005436095  0.005156766  0.004917382  0.005100541  0.005141682  0.005040757  0.004766880  0.004659685  0.004523669  0.004335408  0.003984750  0.003677414  0.003566813  0.003365454  0.003335800  0.003310361  0.003193972  0.002944106  0.002856820  0.002829557  0.002904049  0.002770425  0.002384510  0.002388174  0.002255333  0.002070562  0.001952862  0.001853682  0.001695598  0.001639984  0.001454099  0.001298473  0.001254076  0.001173000  0.001027618  0.000960683  0.000840479  0.000701912  0.000628530  0.000560135  0.000502448  0.000340932  0.000251771  0.000198779
A10g-15  0.016235780  0.016354123  0.016211576  0.015837836  0.016348140  0.016588127  0.014903213  0.014992873  0.015067834  0.015311400  0.015442563  0.015622695  0.015956676  0.014649976  0.013766988  0.013610435  0.013846102  0.013188935  0.013363174  0.013027228  0.013162910  0.013326875  0.013489726  0.013261408  0.013166492  0.013521622  0.013506408  0.012919729  0.012636207  0.012338433  0.011668902  0.011385093  0.009781672  0.010297021  0.009610077  0.008790985  0.008714204  0.008251503  0.008079137  0.008044604  0.008328438  0.008308065  0.008351601  0.007995750  0.007287745  0.007308431  0.007075637  0.007008617  0.006519193  0.005902156  0.006263143  0.006641197  0.006711584  0.006862179  0.006694227  0.006686531  0.006289620  0.006115459  0.005664074  0.005804418  0.005817609  0.005687393  0.005757407  0.006006015  0.005887692  0.006007115  0.006066977  0.005774647  0.005524211  0.005716307  0.005758887  0.005651783  0.005362351  0.005248876  0.005104111  0.004902588  0.004526968  0.004196940  0.004077727  0.003859594  0.003827681  0.003800001  0.003672537  0.003397552  0.003301480  0.003271234  0.003354400  0.003203971  0.002767152  0.002771212  0.002618709  0.002404843  0.002267107  0.002149895  0.001961686  0.001894401  0.001667025  0.001474636  0.001418783  0.001315000  0.001128359  0.001043190  0.000891701  0.000720420  0.000631389  0.000549604  0.000482007  0.000300973  0.000210764  0.000163196
