Area in km2 for individual Swiss glaciers
SGI-ID 1915  1916  1917  1918  1919  1920  1921  1922  1923  1924  1925  1926  1927  1928  1929  1930  1931  1932  1933  1934  1935  1936  1937  1938  1939  1940  1941  1942  1943  1944  1945  1946  1947  1948  1949  1950  1951  1952  1953  1954  1955  1956  1957  1958  1959  1960  1961  1962  1963  1964  1965  1966  1967  1968  1969  1970  1971  1972  1973  1974  1975  1976  1977  1978  1979  1980  1981  1982  1983  1984  1985  1986  1987  1988  1989  1990  1991  1992  1993  1994  1995  1996  1997  1998  1999  2000  2001  2002  2003  2004  2005  2006  2007  2008  2009  2010  2011  2012  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022  2023  2024  
A10g-02   0.869130   0.870530   0.867015   0.859136   0.867985   0.871640   0.839251   0.840172   0.840802   0.844704   0.846401   0.849003   0.854529   0.828851   0.810554   0.806547   0.810511   0.796333   0.799101   0.791331   0.793318   0.795875   0.798399   0.792887   0.790105   0.796614   0.795478   0.782637   0.775879   0.768769   0.753637   0.746592   0.709869   0.721234   0.704393   0.683800   0.681077   0.668590   0.663339   0.661633   0.668213   0.666872   0.667193   0.657232   0.637812   0.637577   0.630431   0.627774   0.613295   0.594595   0.604633   0.614838   0.616045   0.619527   0.614042   0.613041   0.600965   0.595093   0.580882   0.584378   0.577456   0.570534   0.563612   0.556690   0.549768   0.542846   0.535924   0.529002   0.522080   0.515159   0.508237   0.501315   0.494393   0.487471   0.480549   0.473627   0.466705   0.459783   0.452861   0.445939   0.439017   0.432095   0.425173   0.418251   0.411329   0.404407   0.397485   0.390563   0.383641   0.376720   0.369798   0.362876   0.355954   0.349032   0.342110   0.335188   0.328266   0.321344   0.314422   0.307500   0.293026   0.285791   0.272480   0.255907   0.246310   0.236782   0.228280   0.200617   0.181517   0.167716
A10g-04   0.044786   0.045783   0.045894   0.045182   0.047612   0.049071   0.044045   0.044967   0.045838   0.047333   0.048416   0.049687   0.051513   0.047577   0.044983   0.044986   0.046494   0.044637   0.045913   0.045233   0.046371   0.047622   0.048869   0.048593   0.048827   0.050850   0.051398   0.049733   0.049221   0.048634   0.046530   0.045950   0.040086   0.043058   0.040698   0.037689   0.037903   0.036351   0.036097   0.036506   0.038506   0.039006   0.039809   0.038696   0.035840   0.036521   0.035895   0.036124   0.034165   0.031480   0.034138   0.036873   0.037835   0.039222   0.038892   0.039434   0.037874   0.037477   0.035530   0.036951   0.036402   0.035854   0.035305   0.034756   0.034207   0.033659   0.033110   0.032561   0.032012   0.031463   0.030915   0.030366   0.029817   0.029268   0.028720   0.028171   0.027622   0.027073   0.026524   0.025976   0.025427   0.024878   0.024329   0.023780   0.023232   0.022683   0.022134   0.021585   0.021037   0.020488   0.019939   0.019390   0.018841   0.018293   0.017744   0.017195   0.016646   0.016098   0.015549   0.015000   0.013588   0.013062   0.011810   0.010158   0.009357   0.008573   0.007895   0.004788   0.002856   0.001602
A10g-05   3.694424   3.704838   3.701386   3.684869   3.717084   3.734388   3.646722   3.655990   3.664416   3.682385   3.693946   3.708337   3.730987   3.662748   3.615963   3.610845   3.629033   3.594218   3.608869   3.593006   3.605491   3.619643   3.633637   3.624171   3.622621   3.648192   3.651404   3.620254   3.607133   3.592848   3.554379   3.540137   3.437149   3.477884   3.434527   3.379738   3.378077   3.347550   3.338338   3.339833   3.366238   3.369132   3.376722   3.353707   3.301175   3.307009   3.291721   3.290333   3.252717   3.202104   3.239212   3.277071   3.287240   3.303929   3.293587   3.297065   3.266754   3.255316   3.218303   3.235751   3.221502   3.207254   3.193005   3.178756   3.164507   3.150259   3.136010   3.121761   3.107512   3.093263   3.079015   3.064766   3.050517   3.036268   3.022020   3.007771   2.993522   2.979273   2.965024   2.950776   2.936527   2.922278   2.908029   2.893780   2.879532   2.865283   2.851034   2.836785   2.822537   2.808288   2.794039   2.779790   2.765541   2.751293   2.737044   2.722795   2.708546   2.694298   2.680049   2.665800   2.613160   2.589889   2.541855   2.479966   2.446204   2.412721   2.382712   2.275170   2.201178   2.148028
A10g-07   0.255103   0.257013   0.256779   0.254538   0.259844   0.262832   0.249773   0.251502   0.253102   0.256186   0.258277   0.260810   0.264636   0.254481   0.247613   0.247121   0.250233   0.245193   0.247753   0.245611   0.247837   0.250324   0.252789   0.251626   0.251684   0.255956   0.256753   0.252253   0.250526   0.248621   0.243027   0.241133   0.225917   0.232492   0.226196   0.218211   0.218247   0.213918   0.212808   0.213323   0.217648   0.218374   0.219823   0.216614   0.209003   0.210177   0.208150   0.208226   0.202857   0.195584   0.201512   0.207577   0.209411   0.212246   0.210963   0.211780   0.207488   0.206042   0.200762   0.203695   0.201790   0.199885   0.197980   0.196076   0.194171   0.192266   0.190361   0.188456   0.186551   0.184646   0.182741   0.180837   0.178932   0.177027   0.175122   0.173217   0.171312   0.169407   0.167502   0.165598   0.163693   0.161788   0.159883   0.157978   0.156073   0.154168   0.152263   0.150359   0.148454   0.146549   0.144644   0.142739   0.140834   0.138929   0.137024   0.135120   0.133215   0.131310   0.129405   0.127500   0.121010   0.118304   0.112452   0.104859   0.100884   0.096962   0.093493   0.080129   0.071275   0.065121
A10g-08   1.420125   1.423333   1.419653   1.409512   1.423556   1.430182   1.384899   1.387536   1.389755   1.396704   1.400474   1.405627   1.414894   1.379252   1.354219   1.349744   1.356788   1.337681   1.342972   1.333193   1.337412   1.342452   1.347412   1.340803   1.338096   1.348768   1.348405   1.331142   1.322750   1.313791   1.293004   1.284087   1.231937   1.249988   1.226892   1.198275   1.195564   1.178773   1.172388   1.171226   1.182212   1.181712   1.183519   1.170410   1.143052   1.144008   1.134719   1.132165   1.112091   1.085776   1.101913   1.118406   1.121465   1.127690   1.120804   1.120614   1.104094   1.096697   1.076991   1.083551   1.075202   1.066854   1.058505   1.050156   1.041807   1.033459   1.025110   1.016761   1.008412   1.000063   0.991715   0.983366   0.975017   0.966668   0.958320   0.949971   0.941622   0.933273   0.924924   0.916576   0.908227   0.899878   0.891529   0.883180   0.874832   0.866483   0.858134   0.849785   0.841437   0.833088   0.824739   0.816390   0.808041   0.799693   0.791344   0.782995   0.774646   0.766298   0.757949   0.749600   0.723108   0.710505   0.686296   0.655658   0.638294   0.621106   0.605593   0.553799   0.518094   0.492235
A10g-09   0.149604   0.150200   0.149818   0.148534   0.150655   0.151725   0.145514   0.146024   0.146476   0.147593   0.148261   0.149126   0.150575   0.145704   0.142323   0.141831   0.142960   0.140409   0.141293   0.140049   0.140779   0.141626   0.142461   0.141665   0.141421   0.143067   0.143153   0.140859   0.139809   0.138682   0.135903   0.134784   0.127637   0.130305   0.127198   0.123326   0.123079   0.120859   0.120098   0.120066   0.121736   0.121793   0.122176   0.120466   0.116787   0.117051   0.115886   0.115656   0.112990   0.109461   0.111846   0.114281   0.114840   0.115850   0.115022   0.115125   0.112949   0.112045   0.109427   0.110471   0.109641   0.108812   0.107983   0.107154   0.106324   0.105495   0.104666   0.103837   0.103007   0.102178   0.101349   0.100520   0.099690   0.098861   0.098032   0.097202   0.096373   0.095544   0.094715   0.093885   0.093056   0.092227   0.091398   0.090568   0.089739   0.088910   0.088080   0.087251   0.086422   0.085593   0.084763   0.083934   0.083105   0.082276   0.081446   0.080617   0.079788   0.078959   0.078129   0.077300   0.072565   0.070413   0.066124   0.060666   0.057684   0.054739   0.052123   0.042755   0.036511   0.032139
A10g-11   0.442213   0.445358   0.442900   0.435479   0.447227   0.452992   0.418328   0.420918   0.423176   0.429190   0.432681   0.437230   0.445165   0.417839   0.398821   0.395805   0.401862   0.387472   0.392137   0.384902   0.388689   0.393117   0.397516   0.392801   0.391160   0.400137   0.400366   0.387400   0.381284   0.374767   0.359347   0.352935   0.314677   0.329021   0.312004   0.291120   0.289551   0.277423   0.273106   0.272661   0.281392   0.281360   0.283137   0.273716   0.254333   0.255483   0.249141   0.247656   0.233625   0.215408   0.227760   0.240396   0.243104   0.248293   0.243723   0.244014   0.232462   0.227518   0.213877   0.219037   0.214273   0.209510   0.204746   0.199983   0.195220   0.190456   0.185693   0.180929   0.176166   0.171402   0.166639   0.161876   0.157112   0.152349   0.147585   0.142822   0.138059   0.133295   0.128532   0.123768   0.119005   0.114241   0.109478   0.104715   0.099951   0.095188   0.090424   0.085661   0.080898   0.076134   0.071371   0.066607   0.061844   0.057080   0.052317   0.047554   0.042790   0.038027   0.033263   0.028500   0.025965   0.024803   0.022510   0.019613   0.018042   0.016497   0.015143   0.010071   0.006780   0.004555
A10g-12   0.689652   0.690639   0.688298   0.682867   0.689046   0.691660   0.669332   0.670039   0.670544   0.673314   0.674563   0.676476   0.680363   0.662693   0.650120   0.647416   0.650238   0.640517   0.642499   0.637254   0.638714   0.640566   0.642388   0.638665   0.636814   0.641370   0.640641   0.631820   0.627241   0.622400   0.611910   0.607093   0.581608   0.589679   0.578085   0.563858   0.562021   0.553452   0.549863   0.548761   0.553461   0.552675   0.552990   0.546189   0.532620   0.532540   0.527577   0.525818   0.515720   0.502664   0.509807   0.517116   0.518041   0.520480   0.516677   0.516055   0.507667   0.503619   0.493724   0.496307   0.492015   0.487722   0.483429   0.479137   0.474844   0.470551   0.466259   0.461966   0.457673   0.453380   0.449088   0.444795   0.440502   0.436210   0.431917   0.427624   0.423332   0.419039   0.414746   0.410454   0.406161   0.401868   0.397576   0.393283   0.388990   0.384698   0.380405   0.376112   0.371820   0.367527   0.363234   0.358941   0.354649   0.350356   0.346063   0.341771   0.337478   0.333185   0.328893   0.324600   0.311108   0.304433   0.292083   0.276606   0.267652   0.258789   0.250770   0.224994   0.207159   0.194183
A10g-14   0.532747   0.535014   0.532242   0.524914   0.534988   0.539663   0.507403   0.509200   0.510695   0.515597   0.518214   0.521809   0.528413   0.502947   0.485062   0.481776   0.486718   0.473050   0.476749   0.469656   0.472560   0.476054   0.479506   0.474682   0.472651   0.480218   0.479882   0.467546   0.461461   0.455009   0.440344   0.433965   0.397986   0.410569   0.394407   0.374575   0.372616   0.360919   0.356424   0.355514   0.363025   0.362526   0.363664   0.354500   0.335906   0.336459   0.330058   0.328193   0.314579   0.296932   0.307850   0.319023   0.321027   0.325271   0.320524   0.320302   0.309066   0.303984   0.290723   0.295039   0.289478   0.283917   0.278356   0.272795   0.267234   0.261673   0.256112   0.250551   0.244990   0.239429   0.233868   0.228307   0.222746   0.217185   0.211624   0.206063   0.200502   0.194941   0.189380   0.183820   0.178259   0.172698   0.167137   0.161576   0.156015   0.150454   0.144893   0.139332   0.133771   0.128210   0.122649   0.117088   0.111527   0.105966   0.100405   0.094844   0.089283   0.083722   0.078161   0.072600   0.067251   0.064719   0.059865   0.053756   0.050356   0.047006   0.044030   0.033638   0.026744   0.021945
A10g-15   0.530818   0.533005   0.530381   0.523479   0.533032   0.537456   0.506830   0.508550   0.509984   0.514635   0.517121   0.520523   0.526799   0.502630   0.485647   0.482542   0.487247   0.474278   0.477804   0.471061   0.473821   0.477142   0.480422   0.475856   0.473943   0.481139   0.480835   0.469130   0.463354   0.457227   0.443331   0.437282   0.403011   0.414915   0.399518   0.380619   0.378769   0.367603   0.363335   0.362470   0.369601   0.369098   0.370174   0.361422   0.343727   0.344268   0.338196   0.336421   0.323449   0.306602   0.316983   0.327568   0.329483   0.333564   0.329069   0.328861   0.318141   0.313301   0.300639   0.304732   0.299463   0.294195   0.288927   0.283659   0.278390   0.273122   0.267854   0.262585   0.257317   0.252049   0.246780   0.241512   0.236244   0.230976   0.225707   0.220439   0.215171   0.209902   0.204634   0.199366   0.194098   0.188829   0.183561   0.178293   0.173024   0.167756   0.162488   0.157220   0.151951   0.146683   0.141415   0.136146   0.130878   0.125610   0.120341   0.115073   0.109805   0.104537   0.099268   0.094000   0.085983   0.082202   0.074937   0.065804   0.060758   0.055794   0.051415   0.035698   0.025403   0.018359
