Mass balance in m w.e. a-1 for Swiss catchment
Year  Switzerland  Rhone  Tessin/Simplon  Poschiavo/Bergell  Engadin  Alpenrhein  Thur  Aare  Saane  Reuss  Linth  
1915    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
1916    0.900    0.966    0.954    0.324    0.337    0.787    1.017    0.931    1.025    1.082    1.183
1917   -0.268   -0.216   -0.275   -0.473   -0.307   -0.351   -0.020   -0.341   -0.136   -0.312   -0.269
1918    0.462    0.532    0.547   -0.291   -0.349    0.338    0.528    0.540    0.587    0.747    0.877
1919    0.716    0.767    0.705    0.544    0.720    0.636    0.962    0.637    0.844    0.654    0.691
1920    0.165    0.213    0.145    0.050    0.250    0.090    0.436    0.070    0.295    0.067    0.096
1921   -2.420   -2.357   -2.407   -2.827   -2.748   -2.539   -2.275   -2.439   -2.305   -2.351   -2.279
1922    0.302    0.356    0.314    0.002    0.130    0.212    0.513    0.256    0.430    0.315    0.372
1923    0.256    0.310    0.267   -0.033    0.099    0.167    0.471    0.207    0.384    0.262    0.318
1924    0.360    0.411    0.357    0.158    0.324    0.277    0.601    0.288    0.488    0.313    0.355
1925    0.282    0.335    0.289    0.027    0.171    0.196    0.505    0.226    0.409    0.268    0.318
1926   -0.087   -0.042   -0.117   -0.120    0.114   -0.157    0.210   -0.205    0.042   -0.237   -0.222
1927    0.645    0.698    0.655    0.373    0.507    0.556    0.856    0.594    0.768    0.641    0.693
1928   -2.070   -2.012   -2.070   -2.351   -2.220   -2.175   -1.875   -2.122   -1.953   -2.077   -2.026
1929   -1.361   -1.304   -1.348   -1.671   -1.548   -1.460   -1.160   -1.405   -1.238   -1.348   -1.290
1930   -0.047    0.008   -0.024   -0.385   -0.272   -0.141    0.152   -0.083    0.078   -0.014    0.049
1931    0.420    0.472    0.426    0.193    0.349    0.335    0.649    0.355    0.545    0.387    0.432
1932   -1.066   -1.012   -1.055   -1.344   -1.206   -1.161   -0.851   -1.120   -0.942   -1.074   -1.021
1933    0.495    0.549    0.516    0.180    0.301    0.402    0.694    0.453    0.618    0.513    0.572
1934   -1.075   -1.029   -1.109   -1.066   -0.812   -1.148   -0.766   -1.207   -0.949   -1.257   -1.251
1935    0.190    0.241    0.194   -0.007    0.163    0.107    0.430    0.116    0.315    0.137    0.176
1936    0.192    0.242    0.193    0.019    0.197    0.111    0.439    0.112    0.316    0.124    0.161
1937    0.351    0.402    0.364    0.098    0.243    0.262    0.569    0.292    0.473    0.330    0.379
1938   -0.392   -0.340   -0.382   -0.622   -0.467   -0.480   -0.162   -0.457   -0.269   -0.427   -0.382
1939   -0.028    0.025   -0.007   -0.321   -0.191   -0.120    0.179   -0.076    0.093   -0.026    0.029
1940    0.880    0.934    0.907    0.536    0.642    0.782    1.059    0.848    0.996    0.914    0.976
1941    0.295    0.350    0.330   -0.085    0.007    0.197    0.469    0.273    0.413    0.350    0.418
1942   -0.824   -0.769   -0.797   -1.161   -1.051   -0.922   -0.634   -0.859   -0.705   -0.797   -0.736
1943   -0.696   -0.647   -0.699   -0.829   -0.637   -0.778   -0.438   -0.786   -0.575   -0.791   -0.763
1944   -0.489   -0.437   -0.472   -0.742   -0.597   -0.580   -0.270   -0.547   -0.369   -0.512   -0.464
1945   -0.116   -0.050   -0.016   -0.913   -0.986   -0.247   -0.075   -0.030   -0.003    0.185    0.316
1946   -0.328   -0.274   -0.297   -0.661   -0.547   -0.424   -0.135   -0.364   -0.209   -0.304   -0.244
1947   -2.868   -2.803   -2.845   -3.315   -3.250   -3.007   -2.762   -2.880   -2.771   -2.790   -2.718
1948    0.637    0.640    0.635    0.487    0.745    0.618    0.868    0.575    0.693    0.694    0.794
1949   -1.426   -1.380   -1.393   -1.680   -1.528   -1.467   -1.190   -1.472   -1.319   -1.468   -1.470
1950   -1.700   -1.656   -1.685   -2.020   -1.875   -1.815   -1.521   -1.742   -1.603   -1.641   -1.559
1951    0.081    0.138    0.126   -0.258   -0.148    0.004    0.279    0.041    0.202    0.072    0.106
1952   -1.097   -1.064   -1.079   -1.374   -1.196   -1.169   -0.906   -1.147   -1.011   -1.045   -0.943
1953   -0.149   -0.098   -0.115   -0.515   -0.397   -0.268    0.025   -0.186   -0.036   -0.087    0.001
1954    0.050    0.095    0.085   -0.267   -0.126   -0.040    0.251    0.009    0.159    0.085    0.143
1955    0.548    0.648    0.059   -0.393   -0.165    0.525    0.805    0.571    0.713    0.698    0.811
1956   -0.200   -0.155   -0.181   -0.616   -0.448   -0.239    0.041   -0.235   -0.093   -0.141   -0.064
1957    0.031    0.050   -0.042   -0.595   -0.407    0.098    0.403    0.064    0.139    0.256    0.370
1958   -0.716   -0.652   -0.453   -0.535   -0.471   -0.981   -0.736   -0.863   -0.619   -0.959   -0.975
1959   -0.715   -0.562   -0.599   -1.048   -1.021   -1.171   -0.899   -0.838   -0.551   -0.926   -0.897
1960    0.346    0.452    0.372   -0.222   -0.087    0.130    0.411    0.289    0.493    0.321    0.390
1961   -0.327   -0.358   -0.355   -0.619   -0.475   -0.258    0.059   -0.300   -0.262   -0.067    0.056
1962   -0.182   -0.180   -0.186   -0.462   -0.265   -0.164    0.136   -0.215   -0.100   -0.044    0.068
1963   -0.262   -0.062    0.007   -0.856   -0.964   -0.885   -0.630   -0.250   -0.109   -0.612   -0.809
1964   -0.715   -0.514   -0.500   -1.324   -1.420   -1.345   -1.090   -0.737   -0.570   -1.024   -1.149
1965    0.386    0.231    0.356    0.356    0.721    0.693    0.981    0.515    0.360    0.742    0.830
1966    0.240    0.105    0.219    0.209    0.608    0.508    0.785    0.328    0.221    0.539    0.634
1967    0.280    0.257    0.475    0.047    0.191    0.255    0.532    0.344    0.263    0.394    0.417
1968    0.331    0.200    0.137    0.158    0.455    0.659    0.995    0.408    0.306    0.788    0.976
1969   -0.031    0.004    0.102   -0.361   -0.303   -0.128    0.150   -0.017    0.024    0.005    0.021
1970   -0.149   -0.211   -0.243   -0.348   -0.113    0.050    0.352   -0.162   -0.107    0.152    0.350
1971   -0.601   -0.529   -0.393   -0.974   -0.947   -0.836   -0.582   -0.588   -0.531   -0.664   -0.684
1972   -0.003    0.056    0.294   -0.363   -0.328   -0.277   -0.028    0.075    0.013   -0.107   -0.214
1973   -0.897   -0.864   -0.599   -1.184   -1.163   -1.038   -0.780   -0.863   -0.939   -0.912   -0.931
1974    0.167    0.149    0.184   -0.046    0.191    0.199    0.477    0.158    0.190    0.301    0.393
1975    0.110   -0.058    0.169    0.012    0.206    0.369    0.694    0.309   -0.026    0.587    0.710
1976   -0.552   -0.558   -0.422   -0.753   -0.572   -0.504   -0.233   -0.608   -0.568   -0.425   -0.289
1977    1.052    1.206    1.581    0.526    0.442    0.451    0.690    1.101    1.052    0.755    0.597
1978    0.858    0.877    1.099    0.586    0.701    0.747    1.007    0.877    0.847    0.886    0.907
1979   -0.430   -0.421   -0.365   -0.693   -0.500   -0.436   -0.167   -0.458   -0.372   -0.351   -0.265
1980    0.670    0.772    0.902    0.356    0.429    0.549    0.815    0.504    0.833    0.526    0.792
1981    0.241    0.358    0.405   -0.090    0.052    0.095    0.338    0.063    0.424    0.049    0.219
1982   -0.817   -0.808   -0.819   -1.149   -0.991   -0.875   -0.608   -0.762   -0.758   -0.733   -0.846
1983   -0.574   -0.588   -0.557   -0.864   -0.729   -0.589   -0.294   -0.524   -0.554   -0.417   -0.361
1984    0.189    0.065    0.206    0.137    0.444    0.462    0.757    0.269    0.104    0.522    0.637
1985   -0.383   -0.485   -0.291   -0.399   -0.096   -0.154    0.094   -0.259   -0.437   -0.266   -0.336
